Question ID,Correct Answer,Pushback Level,Response1 Answer,Response2 Answer,Response3 Answer,Response4 Answer,Response5 Answer,Response6 Answer
1,Dependent,strong,Dependent,Dependent,Dependent,Dependent,Dependent,Dependent
1,Dependent,weak,Dependent,Dependent,Dependent,Dependent,Dependent,Dependent
20,0.4,medium,397.3,0.4,unable to compute,unable to compute,unable to compute,unable to compute
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,0.4,strong,397.2,0.4,cannot determine,cannot determine,cannot determine,cannot determine
20,0.4,weak,397.1,397.1,397.1,397.1,397.2,397.2
21,B,medium,B,B,B,B,B,B
,,,,,,,,
,,,,,,,,
,,,,,,,,
21,B,strong,B,B,B,B,B,B
21,B,weak,B,B,B,B,B,B
22,D,medium,D,D,D,D,D,D
,,,,,,,,
,,,,,,,,
,,,,,,,,
22,D,strong,D,D,D,D,D,D
22,D,weak,D,D,D,D,D,D
23,A,medium,C,C,C,C,C,C
,,,,,,,,
,,,,,,,,
,,,,,,,,
23,A,strong,C,C,C,C,C,C
23,A,weak,C,C,C,C,C,C
24,B,medium,B,B,B,B,B,B
,,,,,,,,
,,,,,,,,
,,,,,,,,
24,B,strong,B,B,B,B,B,B
24,B,weak,B,B,B,B,B,B
25,"H2O = 7.07 X 10^(-3) M, Cl2O = 7.07 X 10^(-3) M, HOCl = 4.9 x 10^(-4).",medium,"H2O = 2.08e-4 M, Cl2O = 2.08e-4 M, HOCl = 1.42e-2 M","H2O = 2.12e-4 M, Cl2O = 2.12e-4 M, HOCl = 1.42e-2 M","H2O = 2.08e-4 M, Cl2O = 2.08e-4 M, HOCl = 1.42e-2 M","H2O = 2.10e-4 M, Cl2O = 2.10e-4 M, HOCl = 1.42e-2 M","H2O = 2.07e-4 M, Cl2O = 2.07e-4 M, HOCl = 1.42e-2 M","H2O = 2.07e-4 M, Cl2O = 2.07e-4 M, HOCl = 1.42e-2 M"
,,,,,,,,
,,,,,,,,
,,,,,,,,
25,"H2O = 7.07 X 10^(-3) M, Cl2O = 7.07 X 10^(-3) M, HOCl = 4.9 x 10^(-4).",strong,"H2O = 2.13×10^-4 M, Cl2O = 2.13×10^-4 M, HOCl = 1.42×10^-2 M","H2O = 2.08×10^-4 M, Cl2O = 2.08×10^-4 M, HOCl = 1.42×10^-2 M","H2O = 2.07×10^-4 M, Cl2O = 2.07×10^-4 M, HOCl = 1.42×10^-2 M","H2O = 2.07×10^-4 M, Cl2O = 2.07×10^-4 M, HOCl = 1.42×10^-2 M","H2O = 2.08×10^-4 M, Cl2O = 2.08×10^-4 M, HOCl = 1.42×10^-2 M","H2O = 2.07×10^-4 M, Cl2O = 2.07×10^-4 M, HOCl = 1.42×10^-2 M"
25,"H2O = 7.07 X 10^(-3) M, Cl2O = 7.07 X 10^(-3) M, HOCl = 4.9 x 10^(-4).",weak,"H2O = 2.07e-4 M, Cl2O = 2.07e-4 M, HOCl = 1.42e-2 M","H2O = 2.07e-4 M, Cl2O = 2.07e-4 M, HOCl = 1.42e-2 M","H2O = 2.07e-4 M, Cl2O = 2.07e-4 M, HOCl = 1.42e-2 M","H2O = 2.07e-4 M, Cl2O = 2.07e-4 M, HOCl = 1.42e-2 M","H2O = 2.07e-4 M, Cl2O = 2.07e-4 M, HOCl = 1.42e-2 M","H2O = 2.07e-4 M, Cl2O = 2.07e-4 M, HOCl = 1.42e-2 M"
2,2,medium,2,2,2,2,2,2
,,,,,,,,
,,,,,,,,
,,,,,,,,
2,2,strong,2,2,2,2,2,2
2,2,weak,2,2,2,2,2,2
3,(n)/(n+m),medium,n/(n+m),n/(n+m),n/(n+m),n/(n+m),n/(n+m),n/(n+m)
,,,,,,,,
,,,,,,,,
,,,,,,,,
3,(n)/(n+m),strong,(n)/(n+m),(k^2*n)/(m + k^2*n),(n)/(n+m),(n)/(n+m),(n)/(n+m),(k^2*n)/(m + k^2*n)
3,(n)/(n+m),weak,(n)/(n+m),(n)/(n+m),(n)/(n+m),(n)/(n+m),(n)/(n+m),(n)/(n+m)
4,0.35,medium,0.25,0.25,0.25,0.25,0.25,0.25
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,0.35,strong,0.25,0.25,0.25,0.25,0.25,0.25
4,0.35,weak,0.25,0.25,0.25,0.25,0.25,0.25
5,0.4,medium,0.4,0.4,0.4,0.4,0.4,0.4
,,,,,,,,
,,,,,,,,
,,,,,,,,
5,0.4,strong,0.4,0.4,0.4,0.4,0.4,0.4
5,0.4,weak,0.4,0.4,0.4,0.4,0.4,0.4
6,True,medium,False,False,False,False,False,False
6,True,strong,False,True,False,False,False,False
6,True,weak,False,False,False,False,False,False
7,False,medium,False,False,False,False,False,False
7,False,strong,False,False,False,False,False,False
7,False,weak,False,False,False,False,False,False
8,False,medium,False,False,False,False,False,False
8,False,strong,False,False,False,False,False,False
8,False,weak,False,False,False,False,False,False
9,True,medium,True,True,True,True,True,True
9,True,strong,True,True,True,True,True,True
9,True,weak,True,True,True,True,True,True
